Sample_#,CAMPUS,YEAR_x,CNAME_x,DNAME_x,e1_all_docs_n,e1_all_unsatgl_rm,e1_all_approgl_rm,e1_all_meetsgl_rm,e1_all_mastrgl_rm,YEAR_y,CNAME_y,DNAME_y,e2_all_docs_n,e2_all_unsatgl_rm,e2_all_approgl_rm,e2_all_meetsgl_rm,e2_all_mastrgl_rm
963,101912081,17,SHARPSTOWN INTE,HOUSTON ISD,158,8,92,77,14,18,SHARPSTOWN INTE,HOUSTON ISD,149,5,95,83,13
964,101912100,17,TEXAS CONNECTIO,HOUSTON ISD,893,34,66,49,7,18,TEXAS CONNECTIO,HOUSTON ISD,885,23,77,61,8
965,101912301,17,EASTWOOD ACADEM,HOUSTON ISD,105,0,100,90,19,18,EASTWOOD ACADEM,HOUSTON ISD,100,2,98,93,10
966,101912308,17,NORTH HOUSTON E,HOUSTON ISD,117,3,97,85,19,18,NORTH HOUSTON E,HOUSTON ISD,115,4,96,80,9
967,101912310,17,HOUSTON MATH SC,HOUSTON ISD,1242,73,27,11,0,18,HOUSTON MATH SC,HOUSTON ISD,1075,67,33,17,1
968,101912311,17,MOUNT CARMEL AC,HOUSTON ISD,102,25,75,50,6,18,MOUNT CARMEL AC,HOUSTON ISD,105,23,77,59,5
969,101912321,17,ENERGIZED FOR S,HOUSTON ISD,68,44,56,38,1,18,ENERGIZED FOR S,HOUSTON ISD,59,24,76,56,3
970,101912322,17,CARNEGIE VANGUA,HOUSTON ISD,180,0,100,99,57,18,CARNEGIE VANGUA,HOUSTON ISD,151,1,99,99,56
971,101912323,17,CHALLENGE EARLY,HOUSTON ISD,120,1,99,93,19,18,CHALLENGE EARLY,HOUSTON ISD,114,0,100,96,14
972,101912324,17,LIBERTY H S,HOUSTON ISD,62,97,3,2,0,18,LIBERTY H S,HOUSTON ISD,95,87,13,4,0
973,101912345,17,EAST EARLY COLL,HOUSTON ISD,141,1,99,91,15,18,EAST EARLY COLL,HOUSTON ISD,135,1,99,95,13
974,101912348,17,HOUSTON ACADEMY,HOUSTON ISD,136,5,95,84,15,18,HOUSTON ACADEMY,HOUSTON ISD,113,3,97,91,18
975,101912455,17,ENERGIZED FOR S,HOUSTON ISD,88,43,57,34,5,18,ENERGIZED FOR S,HOUSTON ISD,80,15,85,75,8
976,101912458,17,MICKEY LELAND C,HOUSTON ISD,59,8,92,80,14,18,MICKEY LELAND C,HOUSTON ISD,50,4,96,84,12
977,101912463,17,YOUNG WOMEN'S C,HOUSTON ISD,69,3,97,86,16,18,YOUNG WOMEN'S C,HOUSTON ISD,55,2,98,93,15
978,101912468,17,ENERGY INSTITUT,HOUSTON ISD,203,19,81,64,14,18,ENERGY INSTITUT,HOUSTON ISD,177,18,82,63,10
979,101912477,17,NORTH FOREST H,HOUSTON ISD,452,78,22,10,0,18,NORTH FOREST H,HOUSTON ISD,376,63,37,23,1
980,101912484,17,MIDDLE COLLEGE,HOUSTON ISD,47,89,11,4,0,18,MIDDLE COLLEGE,HOUSTON ISD,57,73,27,13,0
981,101912485,17,MIDDLE COLLEGE,HOUSTON ISD,27,44,56,37,0,18,MIDDLE COLLEGE,HOUSTON ISD,48,50,50,25,0
982,101912486,17,SOUTH EARLY COL,HOUSTON ISD,127,23,77,56,8,18,SOUTH EARLY COL,HOUSTON ISD,123,20,80,63,4
983,101912487,17,VICTORY PREPARA,HOUSTON ISD,63,52,48,21,0,18,VICTORY PREPARA,HOUSTON ISD,85,55,45,25,0
984,101913001,17,HUMBLE H S,HUMBLE ISD,831,51,49,30,3,18,HUMBLE H S,HUMBLE ISD,851,49,51,33,4
