FID,SDLEA10,NAME,NAME2,E1E2_STAAR,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
878,17400,Doss Cons CSD,Doss Cons CSD,-5,86024,086-024,86024,4817400,3,341888348,121126.439,463510258.5,140985.7758
304,17460,Douglass ISD,Douglass,-5,174911,174-911,174911,4817460,4,232198521.3,114268.7385,322604055,134659.2256
827,8,Dripping Springs ISD,Dripping Springs,-5,105904,105-904,105904,4800008,6,511672993.1,157647.5851,690126748.4,183059.7571
362,17550,Driscoll ISD,Driscoll,-5,178905,178-905,178905,4817550,2,120485972.1,83674.24888,154314074.1,94631.78914
170,17580,Dublin ISD,Dublin,-5,72902,072-902,72902,4817580,1,658022956.5,189011.1915,922434791.8,223814.2936
141,17610,Dumas ISD,Dumas,0,171901,171-901,171901,4817610,5,1972659312,199605.012,2998954114,246126.2923
242,17640,Duncanville ISD,Duncanville,0,57907,057-907,57907,4817640,1,76124711.58,51262.11855,108086355,61074.75687
1000,17700,Eagle Mountain-Saginaw ISD,Eagle Mountain-Saginaw,0,220918,220-918,220918,4817700,6,191339384.8,88642.55553,273044269.5,105872.4162
681,17730,Eagle Pass ISD,Eagle Pass,0,159901,159-901,159901,4817730,1,3337517329,300331.7856,4367939384,343671.8246
825,17760,Eanes ISD,Eanes,-5,227909,227-909,227909,4817760,5,88449225.48,64245.32688,119542571.3,74702.88259
336,17790,Early ISD,Early,-5,25909,025-909,25909,4817790,7,217014807.2,84457.14762,302324972,99712.21933
772,17830,East Bernard ISD,East Bernard,-5,241902,241-902,241902,4817830,6,466434293.2,150778.0172,620076934.4,173843.2052
647,17850,East Central ISD,East Central,-5,15911,015-911,15911,4817850,2,515416608.2,139948.1663,683168561.1,161159.8416
720,17880,East Chambers ISD,East Chambers,-5,36903,036-903,36903,4817880,5,392492646.5,122328.7361,524513280.5,141498.7442
101,17960,Eastland ISD,Eastland,-5,67903,067-903,67903,4817960,5,665993096,173681.4229,939407687.4,206259.7366
474,18000,Ector County ISD,Ector County,-5,68901,068-901,68901,4818000,5,2325959799,192920.0591,3247979432,227971.9983
695,18030,Ector ISD,Ector,1,74905,074-905,74905,4818030,3,74056120.96,57703.57986,107275636.8,69465.55263
931,18060,Edcouch-Elsa ISD,Edcouch-Elsa,0,108903,108-903,108903,4818060,1,72461390.2,44894.10267,90239865.46,50094.95064
139,18070,Eden Cons ISD,Eden Cons,-5,48901,048-901,48901,4818070,4,1418867281,236017.1926,1955569912,277162.3407
650,18150,Edgewood ISD (Bexar),Edgewood (Bexar),0,15905,015-905,15905,4818150,3,43286277.75,29658.54225,57430980.44,34182.65641
448,18120,Edgewood ISD (Van Zandt),Edgewood (Van Zandt),0,234903,234-903,234903,4818120,5,194350367.1,94603.16754,276172684.4,112790.6181
929,18180,Edinburg Cons ISD,Edinburg Cons,0,108904,108-904,108904,4818180,4,2158636427,214831.8362,2701976117,240342.1739
297,18210,Edna ISD,Edna,-5,120901,120-901,120901,4818210,1,987783410.8,177038.2781,1300955162,203134.2609
96,18280,El Campo ISD,El Campo,-5,241903,241-903,241903,4818280,7,1143108689,275331.8232,1511621279,316615.466
685,18300,El Paso ISD,El Paso,1,71902,071-902,71902,4818300,5,547564575.2,149222.912,764604626.3,176412.9921
415,18330,Electra ISD,Electra,-5,243902,243-902,243902,4818330,7,556279976.6,126006.8044,813257199.9,152489.4205
821,18360,Elgin ISD,Elgin,0,11902,011-902,11902,4818360,1,426596332.6,131402.9779,576791754.4,152791.6717
510,18390,Elkhart ISD,Elkhart,-5,1903,001-903,1903,4818390,2,418195055,150060.2553,580820281.4,176778.0109
219,18480,Elysian Fields ISD,Elysian Fields,-5,102906,102-906,102906,4818480,4,370693813.3,94731.52575,523152375.6,112559.5695
14,18540,Ennis ISD,Ennis,-5,70903,070-903,70903,4818540,1,672116521.5,191109.3119,947490327.5,226899.8522
1015,18600,Era ISD,Era,-5,49906,049-906,49906,4818600,7,389423405.9,127529.4484,563127483.2,153363.9147
632,18660,Etoile ISD,Etoile,-5,174910,174-910,174910,4818660,3,196120824.1,112773.2071,270891731.2,132492.5553
713,18690,Eula ISD,Eula,-5,30906,030-906,30906,4818690,2,300278642.3,102526.8261,423955523.4,121873.4355
447,18720,Eustace ISD,Eustace,-5,107905,107-905,107905,4818720,3,207321442.5,91542.99912,292158779,108660.4195
19,18750,Evadale ISD,Evadale,-5,121906,121-906,121906,4818750,4,72443893.4,56747.69496,97922733.24,65972.02828
82,18780,Evant ISD,Evant,-5,50901,050-901,50901,4818780,2,675548726.8,216273.5424,935361534.6,254519.5539
123,18810,Everman ISD,Everman,-5,220904,220-904,220904,4818810,1,46403864.08,50101.03288,65842424.73,59693.37837
352,18840,Excelsior ISD,Excelsior,-5,210906,210-906,210906,4818840,4,70102874.15,51670.99318,97523942.89,60933.62626
128,18890,Ezzell ISD,Ezzell,-5,143906,143-906,143906,4818890,3,430757524.2,134131.1878,569258646.9,154243.7607
235,18900,Fabens ISD,Fabens,-5,71903,071-903,71903,4818900,4,160262405.6,68088.00557,222114511.6,80118.44854
406,18940,Fairfield ISD,Fairfield,-5,81902,081-902,81902,4818940,3,1189861667,240981.2392,1659186562,284555.6055
606,19020,Falls City ISD,Falls City,-5,128904,128-904,128904,4819020,4,344659610.4,147794.5033,453263641.7,169462.8892
266,19050,Fannindel ISD,Fannindel,-5,60914,060-914,60914,4819050,1,261623800.1,120289.1282,377651435.1,144509.1805
666,19080,Farmersville ISD,Farmersville,-5,43904,043-904,43904,4819080,2,227256124.8,96277.62542,326210365.4,115336.5163
561,19110,Farwell ISD,Farwell,-5,185902,185-902,185902,4819110,2,427968596.4,129266.1517,630439630,157010.7774
438,19140,Fayetteville ISD,Fayetteville,-5,75906,075-906,75906,4819140,6,221437919.9,90226.01359,297009864.8,104529.4886
245,19170,Ferris ISD,Ferris,-5,70905,070-905,70905,4819170,6,206831014.3,105536.0801,292732474.5,125523.8111
437,19280,Flatonia ISD,Flatonia,-5,75901,075-901,75901,4819280,5,634263297.2,129595.2749,848000562,149816.3407
542,19320,Florence ISD,Florence,-5,246902,246-902,246902,4819320,2,366135324.2,152409.8076,500446548.6,178171.5514
71,19350,Floresville ISD,Floresville,-5,247901,247-901,247901,4819350,4,724680052.9,187101.5012,956727513.9,214956.4234
361,19380,Flour Bluff ISD,Flour Bluff,-5,178914,178-914,178914,4819380,2,454055773.5,119730.2097,581489318.5,135448.6357
258,19440,Floydada ISD,Floydada,-5,77901,077-901,77901,4819440,2,1648232803,237812.2166,2409626939,287659.9583
469,19500,Follett ISD,Follett,-5,148902,148-902,148902,4819500,5,674990530.5,168158.1032,1038651288,208527.5489
